"ID","FactorA","FactorB","score"
"S1","A1","B1",0.31
"S2","A1","B1",0.61
"S3","A1","B1",-1.69
"S4","A1","B1",0.78
"S5","A1","B1",0.01
"S6","A1","B1",-0.18
"S7","A1","B1",1.11
"S8","A1","B1",1.48
"S9","A1","B1",-1.15
"S10","A1","B1",1.01
"S11","A1","B1",-0.63
"S12","A1","B1",0.13
"S13","A1","B1",0.48
"S14","A1","B1",0.13
"S15","A1","B1",-1.46
"S16","A1","B1",-0.51
"S17","A1","B1",1.54
"S18","A1","B1",0.17
"S19","A1","B1",-0.84
"S20","A1","B1",-0.66
"S21","A1","B1",1.06
"S22","A1","B1",0.35
"S23","A1","B1",-0.9
"S24","A1","B1",0.01
"S25","A1","B1",0.6
"S26","A1","B1",1.72
"S27","A1","B1",-0.88
"S28","A1","B1",-0.38
"S29","A1","B1",1
"S30","A1","B1",-0.46
"S31","A1","B1",1.46
"S32","A1","B1",1.04
"S33","A1","B1",-1.66
"S34","A1","B1",0.42
"S35","A1","B1",-1.42
"S36","A1","B1",-1.46
"S37","A1","B1",0.07
"S38","A1","B1",0.06
"S39","A1","B1",-0.03
"S40","A1","B1",1.26
"S41","A1","B1",0.29
"S42","A1","B1",-0.67
"S43","A1","B1",0.12
"S44","A1","B1",-0.51
"S45","A1","B1",-0.07
"S46","A1","B1",-1.15
"S47","A1","B1",-0.12
"S48","A1","B1",0.1
"S49","A1","B1",-0.7
"S50","A1","B1",0.04
"S51","A1","B1",-0.65
"S52","A1","B1",-0.64
"S53","A1","B1",-0.2
"S54","A1","B1",0.49
"S55","A1","B1",-0.21
"S56","A1","B1",0.19
"S57","A1","B1",0.97
"S58","A1","B1",-0.29
"S59","A1","B1",-0.1
"S60","A1","B1",0.51
"S61","A1","B1",-1.26
"S62","A1","B1",0.54
"S63","A1","B1",-0.53
"S64","A1","B1",-1.14
"S65","A1","B1",-1.77
"S66","A1","B1",-0.71
"S67","A1","B1",-1.17
"S68","A1","B1",-1.18
"S69","A1","B1",1.63
"S70","A1","B1",-1.21
"S71","A1","B1",1
"S72","A1","B1",0.55
"S73","A1","B1",-0.88
"S74","A1","B1",-0.61
"S75","A1","B1",-0.41
"S76","A1","B1",0.19
"S77","A1","B1",-0.35
"S78","A1","B1",0.83
"S79","A1","B1",-0.29
"S80","A1","B1",-2.17
"S81","A1","B1",-0.1
"S82","A1","B1",-1.85
"S83","A1","B1",0.94
"S84","A1","B1",-0.75
"S85","A1","B1",-1.12
"S86","A1","B1",-0.59
"S87","A1","B1",0.59
"S88","A1","B1",-1.92
"S89","A1","B1",0.25
"S90","A1","B1",-0.97
"S91","A1","B1",-0.01
"S92","A1","B1",0.68
"S93","A1","B1",0.57
"S94","A1","B1",1.5
"S95","A1","B1",0.13
"S96","A1","B1",-0.7
"S97","A1","B1",2.15
"S98","A1","B1",-0.3
"S99","A1","B1",0.81
"S100","A1","B1",0.93
"S1","A1","B2",1.04
"S2","A1","B2",1.95
"S3","A1","B2",-0.83
"S4","A1","B2",0.17
"S5","A1","B2",0.25
"S6","A1","B2",-0.02
"S7","A1","B2",1.51
"S8","A1","B2",0.87
"S9","A1","B2",0.18
"S10","A1","B2",0.38
"S11","A1","B2",1.31
"S12","A1","B2",1.63
"S13","A1","B2",0.52
"S14","A1","B2",0.69
"S15","A1","B2",-0.79
"S16","A1","B2",-0.72
"S17","A1","B2",-0.32
"S18","A1","B2",0.6
"S19","A1","B2",-0.11
"S20","A1","B2",1.21
"S21","A1","B2",-0.18
"S22","A1","B2",0.27
"S23","A1","B2",0.5
"S24","A1","B2",0.75
"S25","A1","B2",1
"S26","A1","B2",1.26
"S27","A1","B2",0.03
"S28","A1","B2",0.07
"S29","A1","B2",1.28
"S30","A1","B2",-0.23
"S31","A1","B2",2.37
"S32","A1","B2",1.99
"S33","A1","B2",0.29
"S34","A1","B2",0.53
"S35","A1","B2",-0.71
"S36","A1","B2",-0.78
"S37","A1","B2",1.53
"S38","A1","B2",0.33
"S39","A1","B2",0.55
"S40","A1","B2",1.66
"S41","A1","B2",1.19
"S42","A1","B2",-0.16
"S43","A1","B2",2.26
"S44","A1","B2",-0.52
"S45","A1","B2",-0.57
"S46","A1","B2",-0.27
"S47","A1","B2",1.68
"S48","A1","B2",0.61
"S49","A1","B2",0.09
"S50","A1","B2",1.15
"S51","A1","B2",-0.02
"S52","A1","B2",0.12
