P,Condition,Familiarity,Hits
1,2,familiar,0.533333333
2,1,familiar,0.5
4,1,familiar,0.916666667
5,2,familiar,0.461538462
8,1,familiar,0.9
9,2,familiar,0.3
10,1,familiar,0.611111111
13,2,familiar,0.75
14,1,familiar,0.833333333
15,2,familiar,0.5
16,1,familiar,1
17,2,familiar,0.0625
20,1,familiar,0.777777778
21,2,familiar,0.541666667
22,1,familiar,0.456521739
23,2,familiar,0.454545455
24,1,familiar,0.8
25,2,familiar,0.333333333
26,1,familiar,0.8125
27,2,familiar,0.757575758
28,1,familiar,0.514285714
29,2,familiar,0.59375
30,1,familiar,0.615384615
31,2,familiar,0.65
32,1,familiar,0.807692308
33,2,familiar,0.346153846
35,2,familiar,0.658536585
37,2,familiar,0.388888889
38,1,familiar,0.64
39,2,familiar,0.847826087
40,1,familiar,0.5
42,1,familiar,0.34375
45,2,familiar,0.391304348
46,1,familiar,0.52
47,2,familiar,0.80952381
48,1,familiar,0.9
49,2,familiar,0.055555556
50,1,familiar,0.9
51,2,familiar,0.333333333
52,1,familiar,0.931034483
54,1,familiar,0.068965517
55,2,familiar,0.775510204
56,1,familiar,0.951219512
57,2,familiar,0.913043478
59,2,familiar,0.652173913
60,1,familiar,0.857142857
61,2,familiar,0.444444444
62,1,familiar,0.95
63,2,familiar,0.545454545
64,1,familiar,0.744186047
65,2,familiar,0.526315789
66,1,familiar,0.75
67,2,familiar,0.454545455
68,1,familiar,0.476190476
69,2,familiar,0.638297872
71,2,familiar,0.678571429
73,2,familiar,0.380952381
74,1,familiar,0.633333333
75,2,familiar,0.828571429
76,1,familiar,0.578947368
77,2,familiar,0.25
78,1,familiar,0.761904762
79,2,familiar,0.333333333
80,1,familiar,0.928571429
81,2,familiar,0.6
82,1,familiar,0.9
83,2,familiar,0.142857143
86,1,familiar,0.5
87,2,familiar,0.545454545
89,2,familiar,0.384615385
90,1,familiar,0.6
91,2,familiar,0.892857143
92,1,familiar,0.851851852
93,2,familiar,0.5
94,1,familiar,0.941176471
95,2,familiar,0.4375
96,1,familiar,0.909090909
98,1,familiar,0.647058824
99,2,familiar,0.547169811
100,1,familiar,0.095238095
101,2,familiar,0.5625
102,1,familiar,0.78125
103,2,familiar,0.409090909
104,1,familiar,0.75
105,2,familiar,0.636363636
106,1,familiar,1
107,2,familiar,0.35483871
108,1,familiar,0.52173913
109,2,familiar,0.586206897
110,1,familiar,0.789473684
111,2,familiar,0.333333333
112,1,familiar,0.823529412
113,2,familiar,0.388888889
114,1,familiar,0.882352941
115,2,familiar,0.105263158
116,1,familiar,0.5625
117,2,familiar,0.59375
118,1,familiar,1
119,2,familiar,0.571428571
120,1,familiar,0.944444444
121,2,familiar,0.476190476
122,1,familiar,0.823529412
123,2,familiar,0.523809524
124,1,familiar,0.827586207
125,2,familiar,0.421052632
126,1,familiar,0.863636364
127,2,familiar,0.692307692
128,1,familiar,0.684210526
129,2,familiar,0.826086957
130,1,familiar,0.764705882
131,2,familiar,0.19047619
132,1,familiar,0.878787879
134,1,familiar,0.764705882
135,2,familiar,0
136,1,familiar,0.833333333
138,1,familiar,0.970588235
139,2,familiar,0.43902439
140,1,familiar,0.9375
141,2,familiar,0.666666667
142,1,familiar,0.764705882
143,2,familiar,0.333333333
145,2,familiar,0.7
146,1,familiar,0.736842105
148,1,familiar,0.424242424
1,2,unfamiliar,0.145454545
2,1,unfamiliar,0.157894737
4,1,unfamiliar,0.409090909
5,2,unfamiliar,0.045977011
8,1,unfamiliar,0.5
9,2,unfamiliar,0.155555556
10,1,unfamiliar,0.317073171
13,2,unfamiliar,0.159090909
14,1,unfamiliar,0.592105263
15,2,unfamiliar,0.04
16,1,unfamiliar,0.38372093
17,2,unfamiliar,0.071428571
20,1,unfamiliar,0.414634146
21,2,unfamiliar,0.236842105
22,1,unfamiliar,0.166666667
23,2,unfamiliar,0.141025641
24,1,unfamiliar,0.2
25,2,unfamiliar,0.073170732
26,1,unfamiliar,0.345238095
27,2,unfamiliar,0.313432836
28,1,unfamiliar,0.153846154
29,2,unfamiliar,0.294117647
30,1,unfamiliar,0.135135135
31,2,unfamiliar,0.2
32,1,unfamiliar,0.445945946
33,2,unfamiliar,0.081081081
35,2,unfamiliar,0.237288136
37,2,unfamiliar,0.234375
38,1,unfamiliar,0.306666667
39,2,unfamiliar,0.314814815
40,1,unfamiliar,0.144444444
42,1,unfamiliar,0.176470588
45,2,unfamiliar,0.064935065
46,1,unfamiliar,0.186666667
47,2,unfamiliar,0.396551724
48,1,unfamiliar,0.3375
49,2,unfamiliar,0.036585366
50,1,unfamiliar,0.271428571
51,2,unfamiliar,0.17721519
52,1,unfamiliar,0.408450704
54,1,unfamiliar,0.014084507
55,2,unfamiliar,0.470588235
56,1,unfamiliar,0.661016949
57,2,unfamiliar,0.12987013
59,2,unfamiliar,0.203703704
60,1,unfamiliar,0.558139535
61,2,unfamiliar,0.090909091
62,1,unfamiliar,0.7875
63,2,unfamiliar,0.337078652
64,1,unfamiliar,0.210526316
65,2,unfamiliar,0.333333333
66,1,unfamiliar,0.204545455
67,2,unfamiliar,0.011235955
68,1,unfamiliar,0.253164557
69,2,unfamiliar,0.150943396
71,2,unfamiliar,0.194444444
73,2,unfamiliar,0.075949367
74,1,unfamiliar,0.385714286
75,2,unfamiliar,0.107692308
76,1,unfamiliar,0.50617284
77,2,unfamiliar,0.276315789
78,1,unfamiliar,0.702702703
79,2,unfamiliar,0
80,1,unfamiliar,0.6
81,2,unfamiliar,0.088888889
82,1,unfamiliar,0.388888889
83,2,unfamiliar,0.012658228
86,1,unfamiliar,0.051282051
87,2,unfamiliar,0.28358209
89,2,unfamiliar,0.08045977
90,1,unfamiliar,0.294117647
91,2,unfamiliar,0.347222222
92,1,unfamiliar,0.424657534
93,2,unfamiliar,0.158536585
94,1,unfamiliar,0.518072289
95,2,unfamiliar,0.095238095
96,1,unfamiliar,0.258426966
98,1,unfamiliar,0.156626506
99,2,unfamiliar,0.170212766
100,1,unfamiliar,0.101265823
101,2,unfamiliar,0.05952381
102,1,unfamiliar,0.426470588
103,2,unfamiliar,0.025641026
104,1,unfamiliar,0.545454545
105,2,unfamiliar,0.168539326
106,1,unfamiliar,0.585365854
107,2,unfamiliar,0.101449275
108,1,unfamiliar,0.103896104
109,2,unfamiliar,0.197183099
110,1,unfamiliar,0.185185185
111,2,unfamiliar,0.024390244
112,1,unfamiliar,0.277108434
113,2,unfamiliar,0.097560976
114,1,unfamiliar,0.385542169
115,2,unfamiliar,0.024691358
116,1,unfamiliar,0.297619048
117,2,unfamiliar,0.191176471
118,1,unfamiliar,0.411764706
119,2,unfamiliar,0.279069767
120,1,unfamiliar,0.37804878
121,2,unfamiliar,0.101265823
122,1,unfamiliar,0.662650602
123,2,unfamiliar,0.151898734
124,1,unfamiliar,0.281690141
125,2,unfamiliar,0.12345679
126,1,unfamiliar,0.346153846
127,2,unfamiliar,0.08045977
128,1,unfamiliar,0.234567901
129,2,unfamiliar,0.441558442
130,1,unfamiliar,0.084337349
131,2,unfamiliar,0.215189873
132,1,unfamiliar,0.597014925
134,1,unfamiliar,0.272727273
135,2,unfamiliar,0.039473684
136,1,unfamiliar,0.5
138,1,unfamiliar,0.575757576
139,2,unfamiliar,0.13559322
140,1,unfamiliar,0.5
141,2,unfamiliar,0.215189873
142,1,unfamiliar,0.373493976
143,2,unfamiliar,0.181818182
145,2,unfamiliar,0.085714286
146,1,unfamiliar,0.308641975
148,1,unfamiliar,0.23880597
